ccc_2018-08-31_cccc-1-rapid-rumble-15-5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
ccc_2020-06-11_14-12-defenchess-vs-komodo-mc.pgn: CCC 14.12: Defenchess vs Komodo MC (15|5)
ccc_2020-06-12_14-13-lc0-vs-fire.pgn: CCC 14.13: Lc0 vs Fire (15|5)
ccc_2020-06-12_14-14-stockfish-vs-komodo.pgn: CCC 14.14: Stockfish vs Komodo (15|5)
ccc_2020-06-13_14-17-ethereal-vs-fire.pgn: CCC 14.17: Ethereal vs Fire (15|5)
ccc_2020-06-14_14-15-scorpio-vs-stoofvlees.pgn: CCC 14.15: Scorpio vs Stoofvlees (15|5)
ccc_2020-06-14_14-18-dark-queen-vs-komodo.pgn: CCC 14.18: Dark Queen vs Komodo (15|5)
ccc_2020-06-15_14-19-scorpio-vs-rofchade.pgn: CCC 14.19: Scorpio vs rofChade (15|5)
ccc_2020-06-15_14-23-fire-vs-komodo.pgn: CCC 14.23: Fire vs Komodo (15|5)
ccc_2020-06-23_14-20-lc0-cpu-vs-komodo-mc.pgn: CCC 14.20: Lc0-CPU vs Komodo MC (15|5)
ccc_2020-06-23_14-20-leelenstein-vs-lc0-cpu.pgn: CCC 14.20: Leelenstein vs Lc0 CPU (15|5)
ccc_2020-06-24_14-21-lc0-vs-stockfish-ii.pgn: CCC 14.21: Lc0 vs Stockfish II (15|5)
ccc_2020-06-24_14-21-lc0-vs-stockfish.pgn: CCC 14.21: Lc0 vs Stockfish (15|5)
ccc_2020-06-25_14-22-stoofvlees-vs-leelenstein.pgn: CCC 14.22: Stoofvlees vs Leelenstein (15|5)
ccc_2020-06-25_14-24-scorpio-vs-lc0-cpu.pgn: CCC 14.24: Scorpio vs Lc0-CPU (15|5)
ccc_2020-06-25_14-25-stoofvlees-vs-komodo.pgn: CCC 14.25: Stoofvlees vs Komodo (15|5)
ccc_2020-06-26_14-24-scorpio-vs-lc0-cpu-tiebreak.pgn: CCC 14.24: Scorpio vs Lc0-CPU (Tiebreak) (15|5)
ccc_2020-06-26_14-26-lc0-vs-lc0-cpu.pgn: CCC 14.26: Lc0 vs Lc0 CPU (15|5)
